230116,"K L M DAYANAND HIGH SCHOOL SEC-17 FARIDABAD HRY, K L MEHTA DAYANAND HIGH SCHOOL SECTOR 17 FARIDABAD FARIDABAD HARYANA,FARIDABAD, HARYANA"
230904,"O.S.D.A.V.PUBLIC SCHOOL, KHURANA ROAD, KAITHAL, HARYANA"
231706,"GEETA SR. SEC. SCHOOL, ALIMOHMAD ROAD SHAHPUR BEGU SIRSA, SIRSA, HARYANA"
231901,"DAV PUBLIC SCHOOL, DAV PUBLIC SCHOOL PROFESSOR COLONY YAMUNA NAGAR (HARYANA), YAMUNA NAGAR, HARYANA"
231902,"SWAMI VIVEKANAND PUBLIC SCHOOL, SWAMI VIVEKANAND PUBLIC SCHOOL THAPAR COLONY WORKSHOP ROAD YAMUNA NAGAR, YAMUNA NAGAR,HARYANA"
231903,"INDIAN PUBLIC SCHOOL, INDIAN PUBLIC SCHOOL BURIA ROAD JAGADHRI, YAMUNA NAGAR, HARYANA"
231904,"SACRED HEART CONVENT SCHOOL, BASANT NAGAR TEJLI ROAD JAGADHRI, YAMUNA NAGAR, HARYANA"
231905,"SARASWATI PUBLIC SCHOOL, PRINCIPAL SARASWATI PUBLIC SCHOOL NEAR BURIA CHOWK, YAMUNA NAGAR, HARYANA"
231906,"ST. THOMAS SCHOOL, ST THOMAS SCHOOL JAGADHRI CIVIL LINES GOMTI MOHALLA, YAMUNA NAGAR, HARYANA"
231907,"HINDU PUBLIC SCHOOL JAGADHRI, HINDU PUBLIC SCHOOL JAGADHRI NEAR JAGADHRI BUS STAND, YAMUNA NAGAR, HARYANA"
231908,"D.A.V. POLICE PUBLIC SCHOOL, POLICE LINE, JAGADHRI, NEAR POLICE LINE ,JAGADHRI, YAMUNA NAGAR, HARYANA"
240401,"CHAMBA MILLENNIUM PUBLIC SCHOOL, VILLAGE LABKANA PO SARU TEHSIL AND DISTT CHAMBA, CHAMBA, HIMACHAL PRADESH"
241005,"GOVT. SR. SEC. SCHOOL-ISPUR, VPO ISPUR SUB TEHSIL ISPUR DISTT UNA HP, UNA, HIMACHAL PRADESH"
250317,"ISLAMIA HANFIA INSTITUTE, LAL CHOWK ANANTNAG, ANANTNAG, JAMMU & KASHMIR"
261003,"B.P. DAV PUBLIC SCHOOL, PHARATHIA, GARHWA, JHARKHAND, GARHWA, JHARKHAND"
261701,"GREATER TRIVENI PUBLIC SCHOOL, BAKSHIDIPA, GUMLA ROAD, LOHARDAGA, LOHARDAGA, JHARKHAND"
273105,"BHORUKA ENGLISH MEDIUM SCHOOL, APMC YARD SHAHAPUR, YADGIR, KARNATAKA"
271911,"GURUKULA INTERNATIONAL SCHOOL, NH-206 NEAR GHAVIMUTT BYRAGONDANAHALLI-BANAVARA ARASIKERE TQ HASSAN DT 573112, HASSAN,KARNATAKA"
271912,"JSS PUBLIC SCHOOL BAGE SAKLESHPUR, JSS PUBLIC SCHOOL BAGE [P] NH-75 SAKLESHPUR [TQ] HASSAN [DIST] KARNATAKA -573214, HASSAN,KARNATAKA"
272006,"J P ROTARY HIGH SCHOOL HAVERI, BASAVESHWAR NAGAR B BLOCK HAVERI, HAVERI, KARNATAKA"
272007,"T M A E COLLEGE, IJARI LAKMAPUR P.B.ROAD HAVERI, HAVERI, KARNATAKA"
272410,"SHREE GAVISIDDESHWARA BED COLLEGE, SHREE GAVISIDDESHWARA BED COLLEGE GAVIMATH CAMPS KOPPAL-583231, KOPPAL, KARNATAKA"
